Chrom,Start,End,CenName,Type,Class,Size
chr1,121405145,121406286,censat_1_1(rnd-6_family-4384),censat,OtherSat,1141
chr1,121406286,121619169,ct_1_2,ct,NonSat,212883
chr1,121619169,121625213,"hor_1_1(S3C1H2-A,B,C)",hor,αSat-Inactive,6044
chr1,121625213,121667941,"hor_1_2(S3C1H2-A,B)",hor,αSat-Inactive,42728
chr1,121667941,121788213,hor_1_3(S3C1H2-B),hor,αSat-Inactive,120272
chr1,121788213,121790362,ct_1_3,ct,NonSat,2149
chr1,121790362,121796048,hor_1_4(S3C1H2-A),hor,αSat-Inactive,5686
chr1,121796048,126300487,hor_1_5(S1C1/5/19H1L),hor,αSat-Active,4504439
chr1,126300487,126590802,hor_1_6(S3C1H2-A),hor,αSat-Inactive,290315
chr1,126590802,126611405,"hor_1_7(S3C1H2-C,D)",hor,αSat-Inactive,20603
chr1,126611405,126633161,hor_1_8(S3C1H2-D),hor,αSat-Inactive,21756
chr1,126633161,126701150,hor_1_9(S3C1H2-C),hor,αSat-Inactive,67989
chr1,126701150,126755779,dhor_1_1(S5C1H4d),dhor,αSat-Other,54629
chr1,126755779,126786879,dhor_1_2(S5C1H5d),dhor,αSat-Other,31100
chr1,126786879,126802930,dhor_1_3(S5C1H6d),dhor,αSat-Other,16051
chr1,126802930,126824128,dhor_1_4(S5C1H5d),dhor,αSat-Other,21198
chr1,126824128,126828704,censat_1_2(SST1_Composite),censat,OtherSat,4576
chr1,126828704,126838321,hsat2_1_1(B),hsat2,HSat2,9617
chr1,126838321,126840458,ct_1_4,ct,NonSat,2137
chr1,126840458,126846306,hsat2_1_2(B),hsat2,HSat2,5848
chr1,126846306,126848989,censat_1_3(rnd-6_family-4384),censat,OtherSat,2683
chr1,126848989,126877724,ct_1_5,ct,NonSat,28735
chr1,126877724,126880325,censat_1_4(rnd-6_family-4384),censat,OtherSat,2601
chr1,126880325,126907665,ct_1_6,ct,NonSat,27340
chr1,126907665,127500101,"hsat2_1_3(A1,B)",hsat2,HSat2,592436
chr1,127500101,127715077,hsat3_1_1(B3),hsat3,HSat3,214976
chr1,127715077,127754463,ct_1_7,ct,NonSat,39386
chr1,127754463,127758832,censat_1_5(CER),censat,OtherSat,4369
