Gene,Transcript,Chrom,Start,End,Strand,Offset,Is_ATAC_High,ATAC_Ave,TPM_Ave,TPM_1,TPM_2,TPM_3,TPM_Quantile
ENSG00000186092.7,NoTrans,chr1,65419,71585,+,0,False,0.18731293,0.0,0.0,0.0,0.0,NoTrans
ENSG00000284733.2,ENST00000426406.4,chr1,450740,451678,-,0,False,0.45530558,0.019991666666666668,0.0,0.059975,0.0,Q1
ENSG00000187634.13,ENST00000341065.8,chr1,930312,944575,+,6389,False,1.650249,0.3386403333333334,0.27524,0.343762,0.396919,Q2
ENSG00000188976.11,ENST00000327044.7,chr1,944203,959256,-,53,True,3.964674,61.91288533333333,56.44858,64.886069,64.404007,Q5
ENSG00000187961.15,ENST00000338591.8,chr1,960584,965719,+,0,True,3.7101338,3.9815199999999997,3.763516,4.357736,3.823308,Q3
ENSG00000187583.11,ENST00000379410.8,chr1,966482,975865,+,0,True,17.242111,4.149181666666666,4.733817,3.880047,3.833681,Q3
ENSG00000187642.10,NoTrans,chr1,975198,982117,-,0,False,1.5931041,0.0,0.0,0.0,0.0,NoTrans
ENSG00000188290.11,ENST00000304952.11,chr1,998964,1000097,-,75,True,10.769847,1.2398963333333333,1.39096,1.056099,1.27263,Q2
ENSG00000187608.10,ENST00000649529.1,chr1,1013497,1014540,+,12359,True,3.8132417,27.330801666666662,37.715216,4.424205,39.852984,Q5
ENSG00000188157.15,ENST00000379370.7,chr1,1020120,1056116,+,0,True,9.066275,39.51796033333333,31.874527,42.904813,43.774541,Q5
ENSG00000237330.3,ENST00000453464.3,chr1,1070967,1074306,-,0,True,5.1271553,0.406255,0.562078,0.374649,0.282038,Q2
ENSG00000131591.18,ENST00000421241.7,chr1,1081823,1116089,-,272,True,15.134445,3.5252426666666667,4.642546,2.729407,3.203775,Q3
ENSG00000162571.14,NoTrans,chr1,1173880,1197936,+,0,False,0.6915971,0.0,0.0,0.0,0.0,NoTrans
ENSG00000186891.14,NoTrans,chr1,1203508,1206592,-,0,False,1.3358889,0.0,0.0,0.0,0.0,NoTrans
ENSG00000186827.12,NoTrans,chr1,1211326,1214153,-,0,False,1.4947169,0.0,0.0,0.0,0.0,NoTrans
ENSG00000078808.20,ENST00000360001.12,chr1,1216931,1232001,-,30,True,12.701096,63.066329,64.906169,63.633531,60.659287,Q5
ENSG00000176022.7,ENST00000379198.5,chr1,1232237,1235041,+,0,True,12.426565,8.547927333333332,9.784965,8.018258,7.840559,Q4
ENSG00000184163.3,ENST00000330388.2,chr1,1242453,1246722,-,0,False,1.5099328,0.23313666666666666,0.477622,0.053298,0.16849,Q2
ENSG00000160087.21,ENST00000349431.11,chr1,1253912,1273854,-,10,True,6.150923,7.276216333333333,8.495013,5.671697,7.661939,Q3
ENSG00000162572.21,ENST00000379099.3,chr1,1287109,1290943,+,6673,False,1.2118394,0.39418066666666673,0.437282,0.212746,0.532514,Q2
ENSG00000131584.19,ENST00000354700.10,chr1,1292391,1307930,-,1679,True,14.022246,9.284227666666666,11.173587,8.259145,8.419951,Q4
ENSG00000169972.13,ENST00000379031.10,chr1,1308597,1311677,+,0,True,15.587248,14.580699333333333,15.438155,14.137431,14.166512,Q4
ENSG00000127054.22,ENST00000435064.6,chr1,1311600,1324660,-,27,True,9.1155405,50.23186433333333,48.614028,46.623919,55.457646,Q5
ENSG00000224051.7,ENST00000343938.9,chr1,1324802,1328896,+,46,True,9.656969,19.945618333333332,21.485422,18.403553,19.94788,Q4
ENSG00000169962.5,ENST00000339381.6,chr1,1331280,1335314,+,0,True,8.332469,0.317402,0.407772,0.322648,0.221786,Q2
ENSG00000107404.21,ENST00000378891.9,chr1,1335276,1349112,-,306,True,12.963183,75.619503,58.008978,69.618312,99.231219,Q5
ENSG00000162576.17,NoTrans,chr1,1352689,1361777,-,0,True,3.1142974,0.0,0.0,0.0,0.0,NoTrans
ENSG00000175756.14,ENST00000338338.10,chr1,1373736,1375207,-,0,True,15.0389385,118.89950033333332,128.946901,114.062724,113.688876,Q5
ENSG00000221978.13,ENST00000481223.6,chr1,1386708,1399311,-,24,True,12.034845,45.437460666666674,53.678635,46.133794,36.499953,Q5
ENSG00000242485.6,ENST00000344843.12,chr1,1401909,1407293,-,0,True,6.903082,86.60521966666666,96.32936,89.811218,73.675081,Q5
ENSG00000235098.9,ENST00000520296.5,chr1,1418420,1421444,-,325,True,2.7473185,0.741143,1.267521,0.42224,0.533668,Q2
ENSG00000205116.4,NoTrans,chr1,1425871,1430255,+,0,False,0.91096425,0.0,0.0,0.0,0.0,NoTrans
ENSG00000179403.12,ENST00000495558.1,chr1,1434861,1437459,+,0,True,2.6235352,0.023657666666666664,0.0,0.070973,0.0,Q1
ENSG00000215915.10,ENST00000378785.7,chr1,1449689,1470163,+,0,False,0.8588118,0.12848166666666666,0.158486,0.109498,0.117461,Q1
ENSG00000160072.20,ENST00000308647.8,chr1,1471784,1496201,+,19,True,8.839773,14.745116333333334,16.314798,13.320527,14.600024,Q4
ENSG00000197785.14,ENST00000536055.6,chr1,1512530,1534685,+,368,True,12.689369,15.789053333333333,18.394811,13.864432,15.107917,Q4
ENSG00000205090.9,ENST00000624426.1,chr1,1539056,1540350,-,274,False,1.0806389,0.2470706666666667,0.291972,0.294233,0.155007,Q2
ENSG00000160075.12,ENST00000291386.4,chr1,1541673,1574863,-,0,True,8.295067,107.29430333333333,112.869208,97.014914,111.998788,Q5
ENSG00000228594.4,ENST00000422725.4,chr1,1598012,1600135,-,0,True,3.3542535,1.6963203333333334,2.632681,1.706888,0.749392,Q2
ENSG00000197530.13,ENST00000489635.5,chr1,1615496,1630604,+,42,True,16.18218,1.7745563333333336,1.840125,0.472569,3.010975,Q2
ENSG00000189409.14,ENST00000503792.1,chr1,1633203,1634568,+,1040,False,1.0283555,0.10116533333333333,0.0,0.303496,0.0,Q1
